 num     #instances         #bytes  class name (module)
 348:            29           1160  com.sun.jmx.mbeanserver.PerInterface (java.management@11.0.8)
 349:            29           1160  java.lang.invoke.VarHandleObjects$FieldInstanceReadWrite (java.base@11.0.8)
 350:            48           1152  java.security.Provider$UString (java.base@11.0.8)
 351:            48           1152  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@11.0.8)
 352:            71           1136  com.sun.proxy.$Proxy8
 353:            47           1128  org.eclipse.jetty.servlet.ServletHandler$MappedServlet
 354:            28           1120  java.math.BigDecimal (java.base@11.0.8)
 355:            20           1120  javax.management.openmbean.ArrayType (java.management@11.0.8)
 356:            46           1104  org.eclipse.jetty.webapp.ClassMatcher$ClassEntry
 357:             8           1088  org.apache.qpid.proton.codec.EncoderImpl
 358:            34           1088  sun.reflect.annotation.AnnotationType (java.base@11.0.8)
 359:            15           1080  java.util.ResourceBundle$CacheKey (java.base@11.0.8)
 360:             2           1056  [Ljava.lang.Byte; (java.base@11.0.8)
 361:             2           1056  [Ljava.lang.Long; (java.base@11.0.8)
 362:             2           1056  [Ljava.lang.Short; (java.base@11.0.8)
 363:            48           1056  [Ljavax.management.MBeanConstructorInfo; (java.management@11.0.8)
 364:             1           1040  [Lorg.apache.activemq.artemis.utils.collections.TypedProperties$ByteValue;
 365:             1           1040  [Lorg.apache.activemq.openwire.DataStreamMarshaller;
 366:             1           1040  [Lorg.apache.qpid.proton.amqp.UnsignedByte;
 367:             1           1040  [Lorg.apache.qpid.proton.amqp.UnsignedInteger;
 368:             1           1040  [Lorg.apache.qpid.proton.amqp.UnsignedLong;
 369:             1           1040  [Lorg.apache.qpid.proton.amqp.UnsignedShort;
 370:            13           1040  io.netty.buffer.PoolChunk
 371:            26           1040  java.lang.invoke.DirectMethodHandle$Interface (java.base@11.0.8)
 372:            65           1040  java.security.SecureClassLoader$CodeSourceKey (java.base@11.0.8)
